,label,area,bbox_area,equivalent_diameter,convex_area,max_intensity,mean_intensity,min_intensity,extent,local_centroid-0,local_centroid-1,local_centroid-2,solidity,feret_diameter_max,standard_deviation_intensity,minor_axis_length,intermediate_axis_length,major_axis_length
0,1,53224.0,92232.0,46.66983828741104,56382.0,55624.0,14508.77949797084,1992.0,0.5770665278862,12.47061476025853,25.65583195550879,29.472343303772735,0.9439892164165868,63.0158710167526,4857.035647124156,29.490718413065114,54.497143454251066,64.4037794370106
1,2,4208.0,8976.0,20.03052672089979,5329.0,27219.0,11868.554182509506,3367.0,0.46880570409982175,9.461501901140684,7.402804182509506,10.302043726235741,0.7896415837868268,28.30194339616981,2913.769206866863,17.393455382984115,24.15046120054557,24.58028069515505
2,3,39298.0,78300.0,42.181686730431295,41848.0,34332.0,12197.694768181587,3225.0,0.5018901660280971,13.110336403888239,27.911700340984275,24.48885439462568,0.9390651883005161,59.016946718718,2807.2602475282083,30.108815071369712,42.539653873871785,59.67531504413271
3,4,12477.0,39788.0,28.776447878997743,16986.0,46093.0,14636.921615773022,3462.0,0.31358701115914345,14.039352408431514,20.89773182656087,22.627634848120543,0.7345460967855881,51.97114584074513,5445.345263229233,19.928686621688794,30.09127553800919,48.46885083852129
4,5,49570.0,93600.0,45.57640848218431,53611.0,32910.0,13643.92134355457,3272.0,0.5295940170940171,13.23235828121848,26.82029453298366,29.01234617712326,0.9246236779765347,63.97655820689325,3726.2943081155495,29.32621665202336,51.45798769503051,64.16134714038256
5,6,46767.0,83232.0,44.70062853858203,48851.0,47610.0,15372.090704984284,2750.0,0.5618872549019608,15.300724870100712,24.448243419505207,24.7735368956743,0.9573396655135002,56.1159513863928,5087.840622671563,32.08232295455536,51.72837894897059,54.27801418577969
6,7,39792.0,76500.0,42.35770114595882,42652.0,42394.0,12798.38955066345,2608.0,0.5201568627450981,13.97770908725372,24.926191194209892,25.02214012866908,0.932945700084404,54.70831746635972,3353.1682197566984,31.088685112758466,45.250312059177034,54.835286259697575
7,8,35698.0,64448.0,40.85216596867564,38580.0,44054.0,14205.557482211889,4078.0,0.5539039225422046,14.863185612639363,22.135273684800268,29.33903860160233,0.9252980819077242,61.87083319303208,4310.125898448685,32.73735217850212,39.69354736113097,56.88928632211207
8,9,3929.0,7650.0,19.577675937311028,4231.0,23663.0,12406.140239246628,4932.0,0.5135947712418301,11.885721557648257,2.8419445151438025,15.08653601425299,0.9286220751595368,35.749125863438955,2432.3043827334263,9.894564787108921,25.5457357738376,33.17767539572037
9,10,41609.0,73728.0,42.992848337447995,44371.0,39406.0,13575.503208440481,3272.0,0.5643581814236112,14.469393640798865,23.877838929077843,23.47674781898147,0.9377521354037547,51.82663407939975,3551.357122477696,32.61627824627958,48.31903812965363,50.9262403917739
10,11,22417.0,38610.0,34.98320726711851,24098.0,36134.0,13539.722264352946,3651.0,0.5806008806008806,17.703617790070037,9.994736137752598,22.537315430253827,0.9302431737073616,51.720402163943,3412.1139713304865,27.4676802596343,34.4009096887087,49.43436552856226
11,12,42784.0,73008.0,43.393790482366256,45983.0,41113.0,14793.64879394166,3509.0,0.5860179706333553,17.82830029917726,17.8563715407629,21.934858825729243,0.9304308113868168,59.312730505347666,4462.689074203739,32.442336468934194,44.51939088151073,60.75119547879841
12,13,41600.0,105952.0,42.98974833875888,52945.0,65535.0,19606.765673076923,3035.0,0.39263062518876474,23.466129807692308,28.19838942307692,20.581610576923076,0.7857210312588535,60.6217782649107,12301.339568035659,29.09160867589586,50.771138313956605,61.020213093795014
